M,tempscreacio,tempsbocom,tempsdolcom,compbo,compdol
1,9e-05,0.00027814,0.000466563,501.485,1000
2,0.000102,0.000136176,0.000222079,251.058,500.043
3,7.8e-05,8.99314e-05,0.000148182,167.719,333.893
4,7.5e-05,6.6232e-05,0.000110099,126.298,250.098
5,7.6e-05,5.95335e-05,9.94435e-05,100.812,200.367
6,0.000157,4.76849e-05,7.88779e-05,84.2813,166.865
7,7.6e-05,3.80001e-05,6.25025e-05,72.535,142.238
8,7.6e-05,3.36389e-05,5.54181e-05,63.4846,124.986
9,7.6e-05,2.94214e-05,4.81414e-05,56.6975,111.191
10,7.7e-05,2.84645e-05,4.64364e-05,50.8073,100.331
11,7.7e-05,2.43892e-05,3.94883e-05,46.6027,90.6755
12,7.7e-05,2.30187e-05,3.69105e-05,42.7356,83.7772
13,7.6e-05,2.06071e-05,3.41994e-05,39.2271,77.0427
14,7.5e-05,1.96268e-05,3.27813e-05,37.0434,71.6857
15,7.7e-05,1.84585e-05,3.02716e-05,34.0934,66.7345
16,0.000105,1.69607e-05,2.74924e-05,32.2069,62.765
17,7.6e-05,1.59521e-05,2.61282e-05,30.454,58.9003
18,7.5e-05,1.50944e-05,2.44669e-05,28.6667,55.5849
19,7.9e-05,1.471e-05,2.37294e-05,27.3387,52.8647
20,9.8e-05,1.4065e-05,2.30437e-05,25.9163,50.3052
21,7.7e-05,1.31509e-05,2.10875e-05,24.9688,47.5473
22,9.7e-05,1.26162e-05,2.01221e-05,23.8803,45.5666
23,7.7e-05,1.29506e-05,2.05066e-05,22.6662,43.5209
24,7.5e-05,1.14961e-05,1.8411e-05,21.777,41.9156
25,7.5e-05,1.13525e-05,1.79512e-05,21.2869,40.0631
26,7.6e-05,1.06207e-05,1.71719e-05,19.9524,38.6419
27,7.8e-05,1.0537e-05,1.65595e-05,19.655,37.1353
28,9.2e-05,1.15548e-05,1.77731e-05,18.922,35.8372
29,7.6e-05,9.91069e-06,1.57243e-05,18.2896,34.8383
30,7.7e-05,9.37657e-06,1.4825e-05,17.6667,33.6246
31,7.6e-05,9.17064e-06,1.42421e-05,17.3519,32.2747
32,7.5e-05,8.94936e-06,1.40692e-05,16.6022,31.6592
33,7.7e-05,9.63278e-06,1.5413e-05,16.073,30.2096
34,0.000156,1.18336e-05,1.88077e-05,15.6727,29.4741
35,7.6e-05,8.05276e-06,1.28352e-05,15.1623,28.4018
36,7.5e-05,7.98029e-06,1.24049e-05,15.0503,28.0244
37,7.5e-05,7.74005e-06,1.21597e-05,14.4291,26.998
38,7.7e-05,7.46065e-06,1.1705e-05,14.0852,26.3438
39,7.5e-05,7.68467e-06,1.16551e-05,13.7768,25.6633
40,7.5e-05,7.16702e-06,1.11506e-05,13.4399,25.1373
41,7.6e-05,7.13234e-06,1.06531e-05,13.3925,24.0071
42,7.5e-05,6.92354e-06,1.0648e-05,13.0069,23.9461
43,7.7e-05,6.81552e-06,1.0411e-05,12.7024,23.3835
44,7.8e-05,6.86641e-06,1.03082e-05,12.4594,22.6816
45,7.6e-05,6.37595e-06,1.00244e-05,12.0035,22.1516
46,7.6e-05,6.25907e-06,2.08484e-05,11.7267,21.7742
47,7.5e-05,6.27716e-06,9.31943e-06,11.6582,20.998
48,7.6e-05,6.56031e-06,9.47508e-06,11.4509,21.0478
49,7.6e-05,6.06761e-06,9.07833e-06,11.3175,20.3967
50,7.6e-05,5.9995e-06,9.03459e-06,11.1366,20.0173
51,7.5e-05,5.75253e-06,8.79145e-06,10.7357,19.7447
52,7.6e-05,5.67669e-06,8.70804e-06,10.4946,19.3398
53,7.6e-05,5.63291e-06,8.57274e-06,10.4262,18.7253
54,7.6e-05,7.61407e-06,9.16887e-06,10.3496,18.6501
55,7.5e-05,5.40202e-06,8.1119e-06,10.0316,18.0895
56,7.5e-05,5.30099e-06,8.04781e-06,9.8699,17.9023
57,0.000101,5.27828e-06,8.06714e-06,9.76974,17.6256
58,7.6e-05,5.2365e-06,7.92472e-06,9.68392,17.414
59,7.6e-05,5.09842e-06,7.58698e-06,9.42971,17.0031
60,7.6e-05,5.19321e-06,7.7884e-06,9.30049,16.8321
61,7.8e-05,5.0802e-06,7.46287e-06,9.24598,16.1994
62,7.7e-05,4.96907e-06,7.46999e-06,9.13085,16.2116
63,8.4e-05,4.89934e-06,8.32146e-06,8.93688,15.9207
64,8.4e-05,4.86329e-06,7.25941e-06,8.7988,15.8016
65,8.3e-05,4.78895e-06,6.9471e-06,8.78895,15.2442
66,9.2e-05,4.77348e-06,7.0763e-06,8.52214,15.2045
67,8.7e-05,4.57129e-06,6.97965e-06,8.45803,14.9145
68,8.3e-05,4.64912e-06,6.77721e-06,8.43919,14.6928
69,8.2e-05,4.52027e-06,6.68159e-06,8.27067,14.5534
70,8.3e-05,4.3515e-06,6.42828e-06,8.07235,14.2004
71,8.3e-05,4.471e-06,6.64802e-06,8.15492,14.3133
72,9.3e-05,4.30947e-06,6.3235e-06,7.96944,13.9959
73,8.3e-05,4.61582e-06,6.62869e-06,7.88125,13.5758
74,8.3e-05,4.13833e-06,6.11902e-06,7.60758,13.5697
75,8.3e-05,4.26743e-06,6.14344e-06,7.91418,13.4303
76,8.3e-05,4.14282e-06,6.06205e-06,7.56081,13.1424
77,9.8e-05,4.19047e-06,5.95931e-06,7.51091,12.9369
78,8.3e-05,4.01322e-06,6.06816e-06,7.32768,12.8637
79,8.3e-05,4.03081e-06,5.88606e-06,7.26806,12.6114
80,8.3e-05,4.00786e-06,5.77518e-06,7.17812,12.6867
81,8.6e-05,4.10228e-06,6.28383e-06,7.21592,12.295
82,8.3e-05,3.97468e-06,5.56256e-06,7.19509,12.0529
83,8.3e-05,3.7887e-06,5.43947e-06,6.94075,12.0275
84,8.3e-05,3.82512e-06,5.52899e-06,6.9632,12.0051
85,8.2e-05,3.6808e-06,5.43642e-06,6.765,11.822
86,9.8e-05,3.72957e-06,5.34893e-06,6.82849,11.6582
87,0.000142,3.74429e-06,5.40997e-06,6.72933,11.6134
88,8.3e-05,3.79269e-06,5.20346e-06,6.86242,11.3164
89,8.2e-05,3.63178e-06,5.21668e-06,6.55245,11.2197
90,8.3e-05,3.58451e-06,5.15666e-06,6.51628,11.1902
91,8.3e-05,3.55108e-06,5.04985e-06,6.44705,11.0153
92,8.3e-05,3.5643e-06,4.95524e-06,6.46314,10.8098
93,8.2e-05,3.55931e-06,5.07426e-06,6.44256,10.8779
94,8.3e-05,3.43083e-06,4.87386e-06,6.23226,10.5331
95,8.2e-05,3.40601e-06,4.95829e-06,6.20718,10.6602
96,8.3e-05,3.43919e-06,4.86368e-06,6.21604,10.5483
97,8.3e-05,3.4453e-06,4.80977e-06,6.18498,10.2869
98,0.000107,3.73444e-06,5.04578e-06,6.19845,10.2777
99,8.2e-05,3.35786e-06,4.69888e-06,6.07122,10.1211
100,8.5e-05,3.34053e-06,4.68362e-06,6.05214,10.1404
101,8.3e-05,3.27105e-06,4.57681e-06,5.93115,9.89929
102,8.3e-05,3.23263e-06,4.51475e-06,5.78022,9.87182
103,8.3e-05,3.21866e-06,4.57579e-06,5.80429,9.83723
104,8.3e-05,3.22964e-06,4.52594e-06,5.86229,9.76094
105,8.3e-05,3.29375e-06,4.53611e-06,5.79381,9.49542
106,8.6e-05,3.19646e-06,4.44354e-06,5.71012,9.30621
107,0.000109,3.20569e-06,4.49644e-06,5.68143,9.27976
108,8.3e-05,3.30984e-06,4.51475e-06,5.66359,9.412
109,0.000128,3.11837e-06,4.34181e-06,5.56592,9.18922
110,8.3e-05,3.05675e-06,4.27772e-06,5.49021,9.13021
111,8.3e-05,3.07384e-06,4.27874e-06,5.47973,9.14242
112,9.2e-05,3.03019e-06,5.1943e-06,5.45191,9.00814
113,8.2e-05,3.00524e-06,4.16684e-06,5.40526,8.77518
114,8.3e-05,3.01085e-06,4.06307e-06,5.38818,8.72431
115,8.3e-05,2.9536e-06,4.08545e-06,5.24298,8.75178
116,8.2e-05,3.05251e-06,4.18311e-06,5.35549,8.70804
117,8.6e-05,3.01335e-06,4.10783e-06,5.26581,8.59613
118,8.6e-05,2.95722e-06,3.98983e-06,5.18997,8.52899
119,8.6e-05,3.0494e-06,4.0061e-06,5.32456,8.50153
120,0.000115,2.88549e-06,4.01628e-06,5.11887,8.40997
121,8.4e-05,2.85606e-06,3.92675e-06,5.05426,8.32757
122,8.3e-05,2.89422e-06,3.93896e-06,5.14868,8.09461
123,8.3e-05,2.88138e-06,3.79247e-06,5.13908,7.93591
124,8.3e-05,2.88612e-06,3.85249e-06,5.08407,8.16785
125,8.6e-05,2.90358e-06,3.75076e-06,5.11027,7.85351
126,8.3e-05,2.81577e-06,3.7884e-06,4.94636,8
127,8.3e-05,3.06299e-06,4.17396e-06,4.92666,7.70804
128,8.4e-05,2.77835e-06,3.83316e-06,4.91169,7.92472
129,9.8e-05,2.79282e-06,3.73449e-06,4.91967,7.84435
130,8.3e-05,2.74716e-06,3.59919e-06,4.87651,7.65717
131,8.3e-05,2.68554e-06,3.52391e-06,4.72159,7.53204
132,8.3e-05,2.70201e-06,3.55341e-06,4.77036,7.56155
133,8.3e-05,2.74716e-06,3.66124e-06,4.78421,7.47609
134,8.5e-05,2.84084e-06,3.74568e-06,4.78595,7.34588
135,0.000145,3.7993e-06,3.588e-06,4.706,7.39166
136,8.4e-05,2.68978e-06,3.57172e-06,4.67918,7.39369
137,8.6e-05,2.68405e-06,3.55341e-06,4.66496,7.29807
138,8.3e-05,2.76388e-06,3.57375e-06,4.65236,7.33367
139,0.000106,2.58226e-06,3.49339e-06,4.52688,7.18718
140,8.3e-05,2.5638e-06,3.44863e-06,4.49395,7.24619
141,8.2e-05,2.58214e-06,3.42218e-06,4.52251,7.00203
142,8.6e-05,2.64837e-06,3.4822e-06,4.59636,7.14751
143,8.3e-05,2.71598e-06,3.33164e-06,4.53761,7.04985
144,8.3e-05,2.57652e-06,3.35097e-06,4.49507,6.9939
145,8.2e-05,2.57415e-06,3.43235e-06,4.46426,7.02136
146,0.000114,2.90009e-06,3.65107e-06,4.46801,6.75687
147,0.000164,4.45952e-06,5.50865e-06,4.44343,6.76195
148,0.000193,4.65399e-06,4.93998e-06,4.33516,6.69888
149,0.000176,2.52701e-06,3.25839e-06,4.33254,6.64293
150,8.6e-05,2.65211e-06,3.28789e-06,4.56343,6.78026
151,8.6e-05,2.48297e-06,3.1353e-06,4.33142,6.5351
152,8.3e-05,2.4483e-06,3.12106e-06,4.25334,6.53917
153,8.3e-05,2.46476e-06,3.13021e-06,4.31882,6.48016
154,8.3e-05,2.45566e-06,3.21363e-06,4.29151,6.55849
155,8.3e-05,2.42023e-06,3.08037e-06,4.28963,6.35504
156,8.3e-05,2.36647e-06,3.14649e-06,4.1543,6.47101
157,8.3e-05,2.43196e-06,3.04374e-06,4.24535,6.39064
158,8.3e-05,2.37358e-06,3.02238e-06,4.11114,6.23703
159,8.3e-05,2.73656e-06,3.65412e-06,4.0237,6.24517
160,9.7e-05,2.34564e-06,3.0885e-06,4.14594,6.37436
161,8.3e-05,2.31221e-06,3.00102e-06,4.05064,6.1943
162,8.3e-05,2.35599e-06,3.03052e-06,4.09555,6.22787
163,8.6e-05,2.41287e-06,3.03357e-06,4.12236,6.18108
164,8.5e-05,2.34801e-06,2.94608e-06,4.06287,6.00916
165,8.6e-05,2.35425e-06,3.09359e-06,4.02357,6.16989
166,8.5e-05,3.07609e-06,4.41302e-06,3.98977,6.08545
167,8.3e-05,2.32356e-06,3.05392e-06,3.99089,5.99288
168,8.3e-05,2.26656e-06,2.9766e-06,3.93913,6.01221
169,8.3e-05,2.31545e-06,2.86063e-06,3.99364,5.86979
170,8.3e-05,2.24136e-06,2.90234e-06,3.89173,5.90132
171,8.2e-05,2.26107e-06,2.92574e-06,3.92254,5.93795
172,8.3e-05,2.32955e-06,2.92065e-06,4.00237,5.82909
173,8.3e-05,2.18099e-06,2.83927e-06,3.76288,5.7294
174,8.3e-05,3.04266e-06,2.86572e-06,3.90034,5.75687
175,8.3e-05,2.22689e-06,2.82197e-06,3.8956,5.66226
176,8.3e-05,2.31383e-06,2.82909e-06,3.92054,5.68362
177,8.2e-05,2.32044e-06,2.81587e-06,3.74679,5.7294
178,8.2e-05,2.21729e-06,2.75585e-06,3.75153,5.6236
179,8.5e-05,2.23737e-06,2.8057e-06,3.81053,5.55036
180,8.5e-05,2.20182e-06,2.72024e-06,3.767,5.62665
181,8.3e-05,2.12648e-06,2.59512e-06,3.72371,5.31841
182,8.2e-05,2.17787e-06,2.7589e-06,3.73519,5.47101
183,8.6e-05,2.17737e-06,2.64191e-06,3.71249,5.32248
184,8.5e-05,2.16315e-06,2.71719e-06,3.69602,5.4059
185,0.000138,2.1533e-06,2.56968e-06,3.68367,5.36114
186,8.3e-05,2.16727e-06,2.72737e-06,3.68342,5.52187
187,9.4e-05,2.14794e-06,2.61343e-06,3.73095,5.30722
188,8.5e-05,2.08494e-06,2.53611e-06,3.58426,5.23296
189,8.3e-05,2.1518e-06,2.64598e-06,3.69976,5.38555
190,8.2e-05,2.09916e-06,2.69379e-06,3.57727,5.40183
191,8.2e-05,2.16764e-06,2.7233e-06,3.66895,5.29095
192,8.3e-05,2.09679e-06,2.58901e-06,3.62106,5.24822
193,8.3e-05,2.10478e-06,2.52492e-06,3.62018,5.23906
194,8.3e-05,2.0817e-06,2.5707e-06,3.60758,5.18616
195,0.000113,2.14681e-06,2.5473e-06,3.63066,5.01017
196,8.6e-05,2.08582e-06,2.58901e-06,3.53461,5.14852
197,8.3e-05,3.50904e-06,2.83011e-06,3.49358,5.10275
198,8.2e-05,2.03779e-06,2.50458e-06,3.49195,5.10071
199,8.3e-05,2.03854e-06,2.48423e-06,3.49507,4.92981
200,8.3e-05,2.06137e-06,2.54934e-06,3.56018,5.05595
201,8.4e-05,2.10528e-06,2.45677e-06,3.53773,4.84435
202,8.6e-05,2.03842e-06,2.54832e-06,3.45728,5.03255
203,0.000102,1.99538e-06,2.4588e-06,3.44468,4.98678
204,0.000107,2.03193e-06,2.44761e-06,3.41811,4.96134
205,8.7e-05,2.04628e-06,2.44049e-06,3.47337,4.84842
206,8.3e-05,1.95622e-06,2.51679e-06,3.37608,4.89725
207,8.3e-05,1.98803e-06,2.45371e-06,3.4448,4.93388
208,8.3e-05,2.02844e-06,2.5056e-06,3.47362,5.04069
209,8.3e-05,1.95534e-06,2.34079e-06,3.34764,4.76806
210,8.3e-05,1.95322e-06,2.35198e-06,3.39728,4.79654
211,8.3e-05,1.91955e-06,2.353e-06,3.26681,4.7294
212,8.3e-05,2.04827e-06,2.44049e-06,3.36497,4.57579
213,8.3e-05,1.97356e-06,2.46694e-06,3.38144,4.73856
214,8.2e-05,1.92616e-06,2.39166e-06,3.34103,4.70702
215,8.2e-05,1.93339e-06,2.28789e-06,3.31483,4.62258
216,8.3e-05,1.94125e-06,2.34791e-06,3.33416,4.70092
217,8.3e-05,1.93626e-06,2.36521e-06,3.3162,4.73957
218,8.3e-05,1.90196e-06,2.28688e-06,3.30398,4.67243
219,8.3e-05,1.92104e-06,2.27467e-06,3.29038,4.54934
220,8.3e-05,1.87863e-06,2.34079e-06,3.26032,4.64395
221,8.3e-05,1.95397e-06,2.34995e-06,3.27392,4.52289
222,8.6e-05,1.89946e-06,2.33672e-06,3.21517,4.5707
223,8.5e-05,1.97892e-06,2.35707e-06,3.25259,4.4059
224,8.3e-05,1.88973e-06,2.28077e-06,3.18947,4.61038
225,8.3e-05,1.9425e-06,2.23805e-06,3.29263,4.44964
226,8.3e-05,1.86828e-06,2.19329e-06,3.18349,4.33571
227,9.2e-05,1.9042e-06,2.21872e-06,3.22864,4.43744
228,8.2e-05,1.89797e-06,2.24313e-06,3.22789,4.36724
229,8.4e-05,1.93651e-06,2.22177e-06,3.23076,4.36521
230,8.6e-05,1.89597e-06,2.28484e-06,3.13783,4.44151
231,8.3e-05,1.85181e-06,2.12513e-06,3.14108,4.24619
232,9.5e-05,1.86741e-06,2.20753e-06,3.18648,4.31333
233,8.3e-05,1.87788e-06,2.19939e-06,3.10952,4.31333
234,8.2e-05,1.7978e-06,2.22075e-06,3.06848,4.33876
235,8.3e-05,1.85456e-06,2.059e-06,3.18236,4.04069
236,8.2e-05,1.79282e-06,2.18108e-06,3.06424,4.28281
237,8.2e-05,1.77822e-06,2.13835e-06,3.04977,4.25229
238,8.3e-05,1.84408e-06,2.16175e-06,3.16141,4.28586
239,8.3e-05,1.78832e-06,2.0885e-06,3.04815,4.12614
240,8.3e-05,2.21392e-06,2.52492e-06,3.04166,4.22991
241,8.3e-05,1.79706e-06,2.13937e-06,3.00811,4.07121
242,8.3e-05,1.77685e-06,2.20855e-06,3.0368,4.16175
243,8.3e-05,1.78795e-06,2.06816e-06,3.0691,4.0529
244,8.3e-05,1.82088e-06,2.01729e-06,3.11239,3.9705
245,8.3e-05,1.81552e-06,2.08545e-06,3.05912,4.02136
246,8.5e-05,1.82799e-06,2.06002e-06,3.0605,3.97355
247,8.3e-05,1.77236e-06,2.03764e-06,3.00761,3.98372
248,8.2e-05,1.80142e-06,4.17091e-06,3.01921,4.0468
249,0.000147,1.77223e-06,2.05697e-06,2.99139,4.05595
250,8.3e-05,1.81839e-06,2.04578e-06,3.08083,3.90132
251,8.2e-05,1.74429e-06,2.05595e-06,2.93364,3.97457
252,0.000116,1.77647e-06,2.02136e-06,3.00661,4.04171
253,8.3e-05,1.80417e-06,2.03255e-06,3.04915,4.00407
254,8.3e-05,1.73881e-06,1.96643e-06,2.91194,3.89522
255,8.2e-05,1.72384e-06,2.12411e-06,2.90445,3.93896
256,0.000116,1.78184e-06,2.08037e-06,2.99164,3.98779
257,8.5e-05,1.8487e-06,2.05188e-06,2.97381,3.92065
258,8.2e-05,1.75589e-06,1.941e-06,2.94337,3.90539
259,8.2e-05,1.7277e-06,1.96846e-06,2.92865,3.81078
260,8.2e-05,1.74766e-06,1.92269e-06,2.93826,3.77314
261,8.3e-05,1.69951e-06,2.08647e-06,2.85431,3.86267
262,8.2e-05,1.69814e-06,2.0061e-06,2.83622,3.83418
263,8.3e-05,2.82986e-06,1.99084e-06,2.8331,3.77721
264,8.3e-05,1.76163e-06,1.97965e-06,2.93851,3.7528
265,8.2e-05,1.72795e-06,1.96439e-06,2.89809,3.76704
266,8.3e-05,1.75577e-06,1.95829e-06,2.88025,3.75687
267,8.3e-05,1.69415e-06,1.89624e-06,2.84383,3.68362
268,8.2e-05,1.73743e-06,1.89217e-06,2.90657,3.62869
269,8.3e-05,1.70114e-06,1.95626e-06,2.84333,3.76297
270,8.3e-05,1.71336e-06,1.98881e-06,2.87988,3.77416
271,8.3e-05,1.6954e-06,1.88403e-06,2.81876,3.66328
272,8.3e-05,1.69415e-06,1.97558e-06,2.83535,3.84232
273,8.2e-05,1.68891e-06,1.90641e-06,2.83148,3.61343
274,8.2e-05,1.68704e-06,1.941e-06,2.83834,3.68159
275,8.2e-05,1.75203e-06,1.80468e-06,2.93389,3.49237
276,8.3e-05,1.7408e-06,1.91048e-06,2.91493,3.68159
277,0.000114,1.65037e-06,1.86673e-06,2.76463,3.64802
278,8.3e-05,1.67107e-06,1.9115e-06,2.77872,3.60427
279,8.3e-05,1.6949e-06,1.90437e-06,2.82001,3.59613
280,0.000107,1.67469e-06,1.90539e-06,2.75876,3.58291
281,0.000104,1.67544e-06,1.86979e-06,2.79194,3.59207
282,8.3e-05,1.62255e-06,1.90437e-06,2.73968,3.52594
283,8.3e-05,1.70824e-06,1.85554e-06,2.83273,3.5117
284,0.000102,1.68218e-06,1.94812e-06,2.83223,3.63886
285,8.3e-05,1.63216e-06,1.92981e-06,2.74404,3.54629
286,8.5e-05,1.66396e-06,1.92065e-06,2.78745,3.55646
287,8.2e-05,1.82762e-06,2.0468e-06,2.72571,3.46185
288,8.5e-05,1.66683e-06,1.85453e-06,2.7524,3.51475
289,8.5e-05,1.65037e-06,1.81689e-06,2.73668,3.45473
290,8.3e-05,1.61257e-06,1.83825e-06,2.73843,3.50153
291,8.3e-05,1.60484e-06,1.76399e-06,2.70513,3.41506
292,8.2e-05,1.62979e-06,1.79044e-06,2.73332,3.39878
293,8.3e-05,1.62417e-06,1.83723e-06,2.71997,3.45982
294,8.2e-05,1.61407e-06,1.75992e-06,2.70662,3.3825
295,8.3e-05,1.60484e-06,1.78739e-06,2.66197,3.40997
296,0.000106,1.58014e-06,1.74364e-06,2.62979,3.32859
297,8.3e-05,1.63889e-06,1.76704e-06,2.7413,3.40285
298,9.5e-05,1.59399e-06,1.73957e-06,2.62155,3.3235
299,8.3e-05,1.61981e-06,1.86775e-06,2.62392,3.38352
300,8.2e-05,1.69652e-06,1.81994e-06,2.73594,3.41099
301,8.5e-05,1.61008e-06,1.78128e-06,2.63453,3.34283
302,0.00012,1.62991e-06,1.78433e-06,2.67045,3.2472
303,8.4e-05,1.67831e-06,1.80671e-06,2.68716,3.28383
304,8.3e-05,1.64513e-06,1.85046e-06,2.60758,3.27569
305,0.00012,2.53436e-06,2.40997e-06,2.6117,3.21363
306,8.6e-05,2.48185e-06,2.43744e-06,2.63141,3.23194
307,9.9e-05,1.75515e-06,1.87182e-06,2.64313,3.28891
308,0.000101,1.74354e-06,1.88301e-06,2.61831,3.29603
309,8.5e-05,1.70999e-06,1.85554e-06,2.64563,3.3469
310,8.6e-05,1.64001e-06,1.79858e-06,2.60808,3.22075
311,8.6e-05,1.75714e-06,1.76399e-06,2.64999,3.1292
312,8.6e-05,1.62255e-06,1.77213e-06,2.62642,3.29603
313,8.6e-05,1.61544e-06,1.67955e-06,2.61419,3.08138
314,8.5e-05,1.67357e-06,1.83316e-06,2.63752,3.2411
315,8.6e-05,1.63141e-06,1.79247e-06,2.61681,3.12106
316,8.3e-05,1.61407e-06,1.77925e-06,2.56767,3.1882
317,8.6e-05,1.62817e-06,1.79044e-06,2.63278,3.17599
318,8.5e-05,1.54559e-06,1.63683e-06,2.50069,3.059
319,0.000102,1.6223e-06,1.71312e-06,2.57129,3.20651
320,8.3e-05,1.64313e-06,1.83011e-06,2.61457,3.17904
321,0.000127,1.87626e-06,1.94303e-06,2.5648,3.08545
322,0.000146,1.81963e-06,1.91556e-06,2.54871,3.13937
323,8.7e-05,2.75265e-06,5.57375e-06,2.5078,3.12309
324,0.00013,3.22777e-06,2.57172e-06,2.54858,3.17497
325,8.5e-05,1.82799e-06,1.83316e-06,2.61395,3.04374
326,8.6e-05,2.16253e-06,2.2472e-06,2.54971,3.07528
327,0.000179,2.55719e-06,2.77416e-06,2.50069,3.08647
328,8.5e-05,2.57091e-06,2.48118e-06,2.51565,3.05493
329,0.000147,8.7645e-06,2.07121e-06,2.55195,2.94914
330,0.000145,2.28627e-06,2.56358e-06,2.49707,3.12614
331,8.6e-05,2.08183e-06,2.11801e-06,2.53224,3.06714
332,0.000122,2.24959e-06,2.3469e-06,2.49894,3.08444
333,0.000131,1.80329e-06,2.01221e-06,2.54135,3.07325
334,8.6e-05,3.86329e-06,4.62055e-06,2.53137,3.06714
