M,tempscreacio,tempsbocom,tempsdolcom,compbo,compdol
335,8.6e-05,5.56705e-06,4.91862e-06,2.51141,2.99898
336,0.000146,3.19795e-06,2.97864e-06,2.51628,3.01729
337,0.000187,3.29487e-06,7.42319e-06,2.51154,2.9766
338,0.000266,4.46501e-06,6.61445e-06,2.46801,3.00509
339,0.000149,5.25246e-06,5.15768e-06,2.50405,2.95626
340,8.6e-05,2.24373e-06,2.3174e-06,2.47998,2.99797
341,0.000145,2.26219e-06,2.31333e-06,2.46688,2.97253
342,0.000263,3.74467e-06,4.57579e-06,2.44817,2.91455
343,0.000297,3.48185e-06,2.48525e-06,2.49732,2.92574
344,0.000146,5.45603e-06,5.09563e-06,2.49482,2.88911
345,0.000215,5.09966e-06,4.69481e-06,2.42572,2.94507
346,8.7e-05,4.62143e-06,6.74466e-06,2.37782,2.87182
347,0.000254,3.88499e-06,3.58291e-06,2.4725,2.90743
348,0.000137,2.43158e-06,2.41607e-06,2.47936,2.88505
349,8.6e-05,1.75889e-06,1.76602e-06,2.4226,2.85453
350,8.7e-05,2.04403e-06,2.14751e-06,2.44119,2.83215
351,0.000133,2.05451e-06,2.11699e-06,2.42822,2.81282
352,8.5e-05,1.75253e-06,1.82909e-06,2.4453,2.80773
353,0.000102,1.64949e-06,1.61139e-06,2.43121,2.77518
354,0.000183,1.88362e-06,1.95219e-06,2.37969,2.8942
355,0.000168,1.70288e-06,1.70193e-06,2.47773,2.78026
356,8.6e-05,2.10365e-06,2.412e-06,2.43208,2.81689
357,0.00012,2.50617e-06,2.10885e-06,2.40514,2.82299
358,0.000143,2.38131e-06,2.14547e-06,2.41599,2.85148
359,8.5e-05,2.05451e-06,2.28179e-06,2.42435,2.81994
360,0.0001,2.12785e-06,2.36928e-06,2.39366,2.76907
361,9e-05,1.93501e-06,2.1353e-06,2.38456,2.91862
362,8.6e-05,5.72097e-06,3.37131e-06,2.35724,2.64598
363,0.000135,3.57266e-06,3.40692e-06,2.35662,2.71821
364,0.00016,3.20818e-06,3.1882e-06,2.3772,2.7294
365,8.5e-05,2.86466e-06,2.25025e-06,2.34913,2.77111
366,0.00014,3.33354e-06,3.44456e-06,2.38842,2.67243
367,8.8e-05,2.30785e-06,2.16073e-06,2.39553,2.81078
368,8.6e-05,1.59673e-06,1.63377e-06,2.29699,2.69176
369,8.5e-05,1.6576e-06,1.61241e-06,2.35936,2.65107
370,9.2e-05,1.56492e-06,1.69074e-06,2.31421,2.66938
371,0.000155,1.54784e-06,1.62055e-06,2.40389,2.66836
372,0.000149,1.69964e-06,1.76501e-06,2.35288,2.82299
373,0.0001,2.63515e-06,2.50051e-06,2.36098,2.6531
374,0.000159,2.91044e-06,2.33367e-06,2.40227,2.6531
375,0.000107,2.69901e-06,2.20651e-06,2.39217,2.62564
376,8.6e-05,1.56443e-06,1.53917e-06,2.28215,2.59308
377,8.5e-05,1.49358e-06,1.51577e-06,2.31533,2.66328
378,8.5e-05,1.47399e-06,1.4944e-06,2.38181,2.6704
379,0.000107,1.43869e-06,1.47406e-06,2.32256,2.61139
380,9.7e-05,1.42797e-06,1.43947e-06,2.3046,2.63886
381,8.2e-05,1.43258e-06,1.40387e-06,2.3762,2.5412
382,8.2e-05,1.45017e-06,1.44354e-06,2.32855,2.67752
383,9.7e-05,1.48035e-06,1.53917e-06,2.27604,2.6236
384,8.6e-05,1.43408e-06,1.49339e-06,2.29762,2.62462
385,8.5e-05,1.43645e-06,1.48932e-06,2.30211,2.55443
386,8.2e-05,1.4115e-06,1.47101e-06,2.29512,2.62564
387,8.2e-05,1.41275e-06,1.44761e-06,2.34315,2.61445
388,8.2e-05,1.42797e-06,1.42625e-06,2.31296,2.58291
389,8.3e-05,1.93888e-06,1.82096e-06,2.35774,2.54222
390,8.6e-05,1.47699e-06,1.44456e-06,2.32032,2.52391
391,8.5e-05,1.40015e-06,1.35605e-06,2.22602,2.38149
392,8.6e-05,1.37633e-06,1.41811e-06,2.22727,2.54527
393,8.3e-05,1.36784e-06,1.45168e-06,2.21617,2.50356
394,8.2e-05,1.46963e-06,1.59308e-06,2.25458,2.6175
395,0.000125,1.37445e-06,1.36317e-06,2.24648,2.50254
396,8.3e-05,1.39491e-06,1.41302e-06,2.26506,2.57375
397,8.3e-05,1.40476e-06,1.43133e-06,2.30223,2.60326
398,8.5e-05,1.412e-06,1.42014e-06,2.29225,2.46185
399,8.3e-05,1.40402e-06,1.40793e-06,2.2693,2.50051
400,9.5e-05,1.47399e-06,1.46999e-06,2.29649,2.47406
401,8.4e-05,1.39042e-06,1.38047e-06,2.24224,2.48525
402,8.2e-05,1.38381e-06,1.33367e-06,2.2683,2.41607
403,8.2e-05,1.39878e-06,1.37131e-06,2.30597,2.44049
404,0.000108,1.38568e-06,1.38962e-06,2.23363,2.47711
405,8.3e-05,1.38867e-06,1.31638e-06,2.25159,2.45066
406,8.3e-05,1.37508e-06,1.39064e-06,2.24573,2.53815
407,0.000111,1.40514e-06,1.40895e-06,2.21716,2.46592
408,8.3e-05,1.36273e-06,1.42014e-06,2.19521,2.50966
409,9.4e-05,1.42323e-06,1.43133e-06,2.18897,2.49644
410,8.2e-05,1.39778e-06,1.44151e-06,2.24448,2.44863
411,8.5e-05,1.36572e-06,1.41302e-06,2.20806,2.44151
412,8.2e-05,1.34003e-06,1.36623e-06,2.17326,2.46999
413,8.3e-05,1.37146e-06,1.40895e-06,2.21829,2.48525
414,8.2e-05,1.37034e-06,1.37742e-06,2.23675,2.5117
415,0.000117,1.32855e-06,1.39369e-06,2.1508,2.39573
416,8.2e-05,1.43819e-06,1.46389e-06,2.25558,2.57579
417,8.3e-05,1.33466e-06,1.34486e-06,2.16752,2.3764
418,8.2e-05,1.35874e-06,1.44456e-06,2.12187,2.40692
419,0.000121,1.35487e-06,1.40387e-06,2.18074,2.32655
420,0.000117,1.34003e-06,1.32757e-06,2.15492,2.44151
421,8.2e-05,1.39204e-06,1.36216e-06,2.17962,2.41506
422,8.3e-05,1.3313e-06,1.27162e-06,2.11064,2.33571
423,8.3e-05,1.33354e-06,1.35097e-06,2.16652,2.39268
424,8.3e-05,1.33766e-06,1.38657e-06,2.1669,2.25839
425,8.3e-05,1.32618e-06,1.34079e-06,2.16852,2.37945
426,8.3e-05,1.3535e-06,1.28688e-06,2.15904,2.33062
427,0.00012,1.67207e-06,1.5941e-06,2.13671,2.24008
428,8.3e-05,1.38119e-06,1.34791e-06,2.1992,2.3591
429,8.2e-05,1.355e-06,1.32757e-06,2.1866,2.37742
430,8.3e-05,1.32967e-06,1.32757e-06,2.14594,2.3296
431,8.2e-05,1.35475e-06,1.36114e-06,2.15679,2.31027
432,8.2e-05,1.34589e-06,1.42828e-06,2.1543,2.353
433,8.2e-05,1.36123e-06,1.34791e-06,2.15966,2.37538
434,9.3e-05,1.32643e-06,1.33876e-06,2.15804,2.41913
435,8.3e-05,1.32606e-06,1.33876e-06,2.13658,2.33367
436,8.3e-05,1.33254e-06,1.27874e-06,2.15866,2.25127
437,8.3e-05,1.33728e-06,1.28688e-06,2.13372,2.25941
438,8.2e-05,1.33604e-06,1.28891e-06,2.15031,2.24517
439,8.3e-05,1.30473e-06,1.21261e-06,2.10964,2.18922
440,8.2e-05,1.33604e-06,1.3296e-06,2.16328,2.31231
441,8.3e-05,1.29225e-06,1.26348e-06,2.07759,2.30417
442,9.4e-05,1.30535e-06,1.28484e-06,2.1281,2.28179
443,8.2e-05,1.32643e-06,1.24822e-06,2.16153,2.23601
444,8.2e-05,1.36772e-06,1.31943e-06,2.15305,2.30315
445,8.2e-05,1.35387e-06,1.34079e-06,2.12037,2.31434
446,8.2e-05,1.4841e-06,1.54222e-06,2.05987,2.21974
447,0.00014,1.37059e-06,1.30621e-06,2.11301,2.17192
448,8.3e-05,1.29126e-06,1.26246e-06,2.09817,2.33876
449,8.3e-05,1.30697e-06,1.2767e-06,2.09817,2.23093
450,8.2e-05,1.32556e-06,1.29807e-06,2.15417,2.2767
451,8.2e-05,1.38818e-06,1.25941e-06,2.22702,2.14954
452,8.3e-05,1.27916e-06,1.28383e-06,2.0706,2.13021
453,8.2e-05,1.3303e-06,1.22991e-06,2.14831,2.18413
454,8.3e-05,1.32356e-06,1.25636e-06,2.13658,2.23194
455,8.3e-05,1.3394e-06,1.24924e-06,2.12224,2.16989
456,8.3e-05,1.31882e-06,1.34893e-06,2.09605,2.13835
457,0.000108,1.35001e-06,1.31943e-06,2.10004,2.19837
458,8.2e-05,1.36722e-06,1.28688e-06,2.0918,2.25636
459,8.5e-05,1.36036e-06,1.26857e-06,2.09991,2.20753
460,8.5e-05,1.3177e-06,1.25025e-06,2.05675,2.24517
461,9.4e-05,1.31047e-06,1.21872e-06,2.07584,2.10885
462,9.1e-05,1.29288e-06,1.25636e-06,2.07235,2.15259
463,8.2e-05,1.31857e-06,1.28383e-06,2.06249,2.14751
464,8.3e-05,1.3646e-06,1.22279e-06,2.09754,2.08647
465,8.3e-05,1.35986e-06,1.27874e-06,2.07821,2.1058
466,8.2e-05,1.27367e-06,1.26755e-06,2.01771,2.12818
467,0.000104,1.42871e-06,1.33774e-06,2.08719,2.10885
468,8.3e-05,1.29886e-06,1.294e-06,2.0116,2.20041
469,8.3e-05,1.31259e-06,1.24924e-06,2.07147,2.14852
470,0.000137,1.31545e-06,1.21872e-06,2.03929,2.03662
471,8.2e-05,1.58887e-06,1.42625e-06,2.12274,2.07935
472,0.000114,2.66446e-06,2.77925e-06,2.02956,2.08037
473,0.000113,4.75365e-06,3.41607e-06,2.10702,2.14344
474,0.000167,3.89497e-06,2.85758e-06,2.01222,2.0763
475,0.000167,3.9198e-06,3.49644e-06,2.02245,2.12106
476,0.000438,4.67319e-06,3.35402e-06,2.11351,2.12411
477,0.000186,3.21255e-06,2.24619e-06,1.96358,2.06511
478,0.000103,1.69003e-06,1.47609e-06,2.04466,2.00916
479,8.6e-05,1.32269e-06,1.28484e-06,1.99364,2.07223
480,8.2e-05,1.4125e-06,1.31536e-06,2.03355,2.10783
481,8.6e-05,1.33454e-06,1.27569e-06,2.06811,2.13733
482,8.6e-05,1.29425e-06,1.23906e-06,2.03443,2.06816
483,9.4e-05,1.30061e-06,1.25636e-06,2.05264,2.05188
484,8.6e-05,1.36797e-06,1.36623e-06,2.03405,2.1414
485,8.2e-05,1.34539e-06,1.27569e-06,2.04503,2.04374
486,0.000115,1.32356e-06,1.27162e-06,2.01609,2.04374
487,8.6e-05,1.29163e-06,1.27569e-06,1.94399,2.03154
488,8.3e-05,1.30336e-06,1.18108e-06,2.05289,1.96236
489,8.2e-05,1.3424e-06,1.24924e-06,2.03518,2.07121
490,8.3e-05,1.32381e-06,1.24822e-06,2.03305,2.00203
491,8.2e-05,1.34053e-06,1.23906e-06,2.06174,2.05392
492,9.2e-05,1.32319e-06,1.19837e-06,2.04603,1.941
493,8.2e-05,1.63727e-06,1.53103e-06,2.04802,2.06409
494,8.7e-05,1.37271e-06,1.2706e-06,2.00736,2.04578
495,8.4e-05,1.43383e-06,1.29603e-06,2.03929,2.04273
496,8.2e-05,1.28926e-06,1.22482e-06,2.02707,1.99491
497,8.3e-05,1.33279e-06,1.22075e-06,2.06224,2.05086
498,8.2e-05,1.29575e-06,1.1882e-06,2.00012,2.02645
499,0.000105,1.37208e-06,1.27467e-06,1.96695,1.96541
500,8.2e-05,1.32132e-06,1.31638e-06,2.01883,1.94812
501,8.6e-05,1.27342e-06,1.19532e-06,1.99925,2.04985
502,8.6e-05,1.26332e-06,1.18515e-06,1.93339,1.96541
503,0.000126,1.39366e-06,1.30722e-06,1.97954,2.07019
504,8.7e-05,1.30735e-06,1.22991e-06,1.96981,1.9939
505,0.000101,1.26494e-06,1.23601e-06,1.9667,2.06104
506,0.000101,1.27018e-06,1.23703e-06,1.98541,2.03967
507,8.3e-05,1.28203e-06,1.13225e-06,2.00249,1.93693
508,8.3e-05,1.25022e-06,1.16175e-06,1.92329,1.95015
509,9.4e-05,1.30261e-06,1.12614e-06,1.98778,1.8881
510,8.3e-05,1.28614e-06,1.24008e-06,1.93801,1.96745
511,8.2e-05,1.2688e-06,1.23194e-06,1.98079,1.99695
512,8.2e-05,1.32755e-06,1.24822e-06,2.02108,1.9766
513,8.3e-05,1.34601e-06,1.25534e-06,1.97792,1.90946
514,8.6e-05,1.34651e-06,1.23906e-06,1.98029,1.91251
515,8.6e-05,1.28527e-06,1.26246e-06,1.93938,1.95524
516,8.5e-05,1.29749e-06,1.20142e-06,1.9884,1.96033
517,0.000112,1.30311e-06,1.19227e-06,1.96807,1.8942
518,8.6e-05,1.26144e-06,1.20142e-06,1.96819,1.94201
519,8.6e-05,1.24535e-06,1.15158e-06,1.94611,1.89217
520,8.5e-05,1.29974e-06,1.1353e-06,2.00574,1.86673
521,8.3e-05,1.20232e-06,1.15463e-06,1.86416,1.89725
522,8.2e-05,1.2335e-06,1.18515e-06,1.91792,1.93388
523,8.3e-05,1.40726e-06,1.17091e-06,1.9198,1.94405
524,8.6e-05,1.23712e-06,1.15666e-06,1.8951,1.91862
525,0.000114,1.31396e-06,1.17497e-06,2.0111,1.88403
526,8.3e-05,1.28115e-06,1.19023e-06,1.93015,1.90132
527,8.3e-05,1.28377e-06,1.19837e-06,1.96645,1.96948
528,8.3e-05,1.28776e-06,1.16989e-06,1.94275,1.91048
529,8.3e-05,1.32843e-06,1.10987e-06,1.99301,1.90234
530,0.000102,1.24111e-06,1.16073e-06,1.94362,1.87996
531,8.5e-05,1.25421e-06,1.22584e-06,1.95946,1.95626
532,8.5e-05,1.28739e-06,1.19634e-06,1.99975,1.97253
533,8.5e-05,1.22739e-06,1.12818e-06,1.90321,1.8881
534,9.2e-05,1.31633e-06,1.1943e-06,1.94774,1.86063
535,8.5e-05,1.24373e-06,1.21465e-06,1.88973,1.84334
536,8.5e-05,1.24935e-06,1.24008e-06,1.92029,1.83113
537,8.5e-05,1.25733e-06,1.14547e-06,1.91244,1.83927
538,8.6e-05,1.2602e-06,1.2238e-06,1.91318,1.92574
539,8.6e-05,1.26506e-06,1.18922e-06,1.91792,1.86572
540,8.4e-05,1.24797e-06,1.15158e-06,1.91044,1.89217
541,8.3e-05,1.24922e-06,1.22482e-06,1.95148,1.87792
542,0.000119,1.23475e-06,1.12716e-06,1.96395,1.84842
543,0.000101,1.22515e-06,1.07935e-06,1.88587,1.78637
544,8.3e-05,1.23737e-06,1.09054e-06,1.93726,1.8881
545,8.3e-05,1.19945e-06,1.09563e-06,1.87689,1.84741
546,8.3e-05,1.21429e-06,1.08037e-06,1.9193,1.79247
547,8.4e-05,1.24036e-06,1.13937e-06,1.90233,1.85453
548,8.3e-05,1.20394e-06,1.08952e-06,1.9037,1.83723
549,8.3e-05,1.23662e-06,1.05392e-06,1.90533,1.76094
550,8.2e-05,1.26456e-06,1.08647e-06,1.98092,1.74669
551,8.2e-05,1.2249e-06,1.11292e-06,1.91131,1.84537
552,0.000127,3.22589e-06,1.20142e-06,1.94549,1.86673
553,8.3e-05,1.20843e-06,1.12106e-06,1.88125,1.85961
554,8.3e-05,1.18373e-06,1.10071e-06,1.84196,1.81994
555,0.000135,1.22639e-06,1.09257e-06,1.90271,1.82909
556,8.2e-05,1.23824e-06,1.14649e-06,1.91306,1.77416
557,8.2e-05,1.1634e-06,1.08749e-06,1.84745,1.78433
558,8.5e-05,1.23138e-06,1.09359e-06,1.92616,1.79145
559,8.2e-05,1.19845e-06,1.05493e-06,1.84296,1.70905
560,8.3e-05,1.19296e-06,1.12614e-06,1.8845,1.8057
561,8.3e-05,1.18099e-06,1.07426e-06,1.88936,1.78128
562,8.2e-05,1.19035e-06,1.0763e-06,1.86429,1.77823
563,8.2e-05,1.20319e-06,1.06002e-06,1.90034,1.8118
564,8.3e-05,1.2113e-06,1.04578e-06,1.88237,1.77111
565,8.2e-05,1.22752e-06,1.05697e-06,1.94736,1.6999
566,8.2e-05,1.20195e-06,1.1119e-06,1.89547,1.77518
567,8.3e-05,1.23899e-06,1.13835e-06,1.93963,1.80671
568,0.000113,1.20993e-06,1.07019e-06,1.91331,1.81689
569,8.2e-05,1.24186e-06,1.11801e-06,1.92566,1.78332
570,8.3e-05,1.20544e-06,1.08647e-06,1.881,1.79247
571,8.3e-05,1.1901e-06,1.15259e-06,1.87988,1.82096
572,8.2e-05,1.18099e-06,1.06205e-06,1.87601,1.79451
573,8.3e-05,1.23313e-06,1.08138e-06,1.90271,1.78026
574,8.2e-05,1.1992e-06,1.06205e-06,1.86229,1.71923
575,8.3e-05,1.26718e-06,1.15768e-06,1.85655,1.81892
576,8.3e-05,1.21504e-06,1.08647e-06,1.88936,1.74364
577,8.3e-05,1.18648e-06,1.0234e-06,1.84096,1.66124
578,8.2e-05,1.19346e-06,1.0763e-06,1.86816,1.73042
579,8.6e-05,1.21978e-06,1.07325e-06,1.91593,1.78535
580,8.3e-05,1.17987e-06,1.07731e-06,1.86179,1.75483
581,8.2e-05,1.18735e-06,1.08138e-06,1.86304,1.69074
582,8.2e-05,1.18548e-06,1.07528e-06,1.85394,1.74873
583,8.5e-05,1.18324e-06,1.02442e-06,1.83236,1.6765
584,8.6e-05,1.18698e-06,1.05697e-06,1.84308,1.71719
585,8.6e-05,1.2214e-06,1.07019e-06,1.8704,1.69481
586,8.6e-05,1.20369e-06,1.08444e-06,1.86603,1.75483
587,8.5e-05,1.2138e-06,1.06002e-06,1.85818,1.71007
588,8.2e-05,1.15567e-06,1.0824e-06,1.84683,1.69888
589,8.2e-05,1.15941e-06,1.06307e-06,1.80941,1.67141
590,8.3e-05,1.1513e-06,1.02543e-06,1.81926,1.66633
591,8.3e-05,1.17401e-06,1.05595e-06,1.80155,1.706
592,8.5e-05,1.16116e-06,1.04273e-06,1.80479,1.70498
593,8.5e-05,1.1664e-06,1.0529e-06,1.80941,1.64598
594,8.5e-05,1.19571e-06,1.05392e-06,1.86766,1.72635
595,8.2e-05,1.18723e-06,1.02543e-06,1.86791,1.66836
596,8.2e-05,1.17114e-06,1.03357e-06,1.8376,1.72737
597,9.2e-05,1.20182e-06,1.059e-06,1.89173,1.63784
598,8.3e-05,1.14781e-06,1.03357e-06,1.78533,1.70498
599,0.000104,1.18311e-06,1.06714e-06,1.86678,1.66734
600,8.2e-05,1.2123e-06,1.04476e-06,1.86366,1.65412
601,0.000133,1.20793e-06,1.02238e-06,1.83435,1.69176
602,8.2e-05,1.16577e-06,1.0824e-06,1.82612,1.66328
603,8.5e-05,1.24361e-06,1.08444e-06,1.87389,1.60427
604,8.3e-05,1.14432e-06,1.06409e-06,1.81315,1.62564
605,8.2e-05,1.175e-06,1.00712e-06,1.82737,1.6175
606,8.3e-05,1.16814e-06,1.02238e-06,1.84234,1.65514
607,8.3e-05,1.15754e-06,9.90844e-07,1.84757,1.54425
608,8.3e-05,1.53237e-06,1.39573e-06,1.79444,1.65005
609,0.000139,1.86978e-06,1.63377e-06,1.7882,1.67548
610,0.000142,1.70338e-06,1.56562e-06,1.80766,1.6002
611,0.000139,1.24149e-06,1.0763e-06,1.8573,1.56562
612,8.5e-05,2.1891e-06,1.7884e-06,1.85967,1.65005
613,0.00026,2.9904e-06,2.74669e-06,1.85531,1.6297
614,8.5e-05,2.6828e-06,1.84435e-06,1.82375,1.66226
615,0.000225,2.23824e-06,1.73143e-06,1.81676,1.61038
616,0.000182,2.00362e-06,1.5707e-06,1.80454,1.62258
617,0.000112,1.21105e-06,1.0529e-06,1.81751,1.66938
618,0.000124,1.17899e-06,1.03459e-06,1.81277,1.62665
619,8.6e-05,1.16777e-06,9.80671e-07,1.83423,1.55646
620,8.2e-05,1.13534e-06,1.01628e-06,1.81003,1.59817
621,8.3e-05,1.1639e-06,9.82706e-07,1.84608,1.63683
622,8.3e-05,1.14644e-06,1.0061e-06,1.83884,1.58494
623,8.3e-05,1.15305e-06,9.97965e-07,1.82026,1.63479
624,8.3e-05,1.15143e-06,1.06205e-06,1.80404,1.73449
625,8.3e-05,1.14357e-06,9.96948e-07,1.78932,1.53204
626,8.3e-05,1.15317e-06,1.06307e-06,1.83972,1.52899
627,8.2e-05,1.1286e-06,9.98983e-07,1.78733,1.55239
628,8.2e-05,1.1432e-06,1.04273e-06,1.80878,1.64395
629,8.5e-05,1.12623e-06,1.03561e-06,1.75689,1.57477
630,9.1e-05,1.15704e-06,9.90844e-07,1.82575,1.59613
631,8.2e-05,1.23138e-06,1.02645e-06,1.82612,1.53713
632,8.2e-05,1.1407e-06,1.09766e-06,1.74118,1.5941
633,8.3e-05,1.0822e-06,9.72533e-07,1.70849,1.55951
634,8.3e-05,1.12648e-06,1.03561e-06,1.79219,1.59817
635,8.6e-05,1.12436e-06,9.87792e-07,1.75876,1.54629
636,8.2e-05,1.1064e-06,9.33876e-07,1.72321,1.49847
637,8.3e-05,1.13783e-06,9.40997e-07,1.76512,1.55544
638,9.4e-05,1.13733e-06,1e-06,1.81714,1.57681
639,8.2e-05,1.13596e-06,1.03866e-06,1.75465,1.66429
640,8.3e-05,1.17126e-06,1.00203e-06,1.81277,1.59817
641,8.2e-05,1.16652e-06,1e-06,1.79818,1.57782
642,8.6e-05,1.14295e-06,9.81689e-07,1.78907,1.54425
643,8.3e-05,1.1276e-06,9.56256e-07,1.76749,1.50153
644,8.3e-05,1.10839e-06,9.97965e-07,1.75627,1.56053
645,8.3e-05,1.14332e-06,1.07833e-06,1.76375,1.52594
646,8.2e-05,1.1649e-06,9.94914e-07,1.76525,1.52187
647,0.000106,1.14756e-06,9.66429e-07,1.80254,1.55341
648,8.3e-05,1.13272e-06,9.90844e-07,1.80554,1.588
649,8.2e-05,1.12536e-06,1.02035e-06,1.72184,1.58087
650,0.0001,1.16315e-06,9.85758e-07,1.7897,1.54323
651,8.6e-05,1.1654e-06,1.03052e-06,1.82138,1.64802
652,8.6e-05,1.29412e-06,1.07833e-06,1.77523,1.50254
653,0.000136,1.83847e-06,1.63174e-06,1.71323,1.53204
654,0.000143,1.54409e-06,1.32859e-06,1.74479,1.5646
655,8.6e-05,1.15018e-06,9.94914e-07,1.74629,1.52085
656,8.7e-05,1.26194e-06,1.05188e-06,1.7549,1.51882
657,8.5e-05,1.41225e-06,1.22889e-06,1.75627,1.51272
658,8.6e-05,1.57777e-06,1.25738e-06,1.78571,1.4588
659,0.000152,1.83061e-06,1.51272e-06,1.77697,1.4883
660,8.3e-05,1.11526e-06,9.82706e-07,1.76051,1.60936
661,8.2e-05,1.14108e-06,1.01831e-06,1.76986,1.60529
662,8.3e-05,1.12349e-06,9.61343e-07,1.76899,1.52899
663,8.3e-05,1.12673e-06,9.7762e-07,1.76275,1.55748
664,0.000106,1.11887e-06,1.03459e-06,1.75539,1.5473
665,8.3e-05,1.12985e-06,9.31841e-07,1.78221,1.53103
666,8.3e-05,1.09779e-06,9.44049e-07,1.74504,1.53001
667,8.2e-05,1.14008e-06,1.04578e-06,1.77411,1.56358
